,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Community Area,Year,Updated On,Latitude,Longitude,Location,Zip Codes,zip_code
1646,9445073,HW589063,12/30/2013 02:21:00 PM,002XX W CHICAGO AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,8,2013,02/10/2018 03:50:01 PM,41.89658837,-87.634759184,"(41.89658837, -87.634759184)",4446.0,60654
1647,9444992,HW589053,12/30/2013 02:20:00 PM,054XX S WELLS ST,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,False,37,2013,02/10/2018 03:50:01 PM,41.794670403,-87.631785431,"(41.794670403, -87.631785431)",14924.0,60609
1648,9445114,HW589067,12/30/2013 02:16:00 PM,011XX W ARGYLE ST,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,3,2013,02/10/2018 03:50:01 PM,41.973264324,-87.658579133,"(41.973264324, -87.658579133)",22616.0,60640
1649,9445177,HW589239,12/30/2013 02:15:00 PM,112XX S FAIRFIELD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,75,2013,02/10/2018 03:50:01 PM,41.68900477,-87.689668634,"(41.68900477, -87.689668634)",4447.0,60655
1650,9444971,HW589026,12/30/2013 02:10:00 PM,063XX S COTTAGE GROVE AVE,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,42,2013,02/10/2018 03:50:01 PM,41.7799566,-87.605921959,"(41.7799566, -87.605921959)",22260.0,60637
1651,9445088,HW589112,12/30/2013 02:09:00 PM,081XX S EXCHANGE AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,True,False,46,2013,02/10/2018 03:50:01 PM,41.747074414,-87.552806355,"(41.747074414, -87.552806355)",21202.0,60617
1652,9446708,HW589499,12/30/2013 02:00:00 PM,113XX S EDBROOKE AVE,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,False,49,2013,02/10/2018 03:50:01 PM,41.688200651,-87.619499636,"(41.688200651, -87.619499636)",21861.0,60628
1653,9446138,HW589114,12/30/2013 02:00:00 PM,070XX S HALSTED ST,THEFT,$500 AND UNDER,APARTMENT,False,True,68,2013,02/10/2018 03:50:01 PM,41.766192627,-87.644437789,"(41.766192627, -87.644437789)",21559.0,60621
1654,9445121,HW589206,12/30/2013 02:00:00 PM,021XX W 71ST ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,67,2013,02/10/2018 03:50:01 PM,41.764773608,-87.676738744,"(41.764773608, -87.676738744)",22257.0,60636
1655,9444978,HW589051,12/30/2013 02:00:00 PM,008XX W 59TH ST,THEFT,$500 AND UNDER,SIDEWALK,False,False,68,2013,02/10/2018 03:50:01 PM,41.78701723,-87.645505595,"(41.78701723, -87.645505595)",21559.0,60621
1656,9445028,HW589123,12/30/2013 02:00:00 PM,0000X N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,32,2013,02/10/2018 03:50:01 PM,41.882470918,-87.627847625,"(41.882470918, -87.627847625)",14310.0,60602
1657,9446376,HW590017,12/30/2013 02:00:00 PM,048XX S ASHLAND AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER,False,True,61,2013,09/07/2021 03:41:02 PM,41.80630882,-87.664907728,"(41.80630882, -87.664907728)",14924.0,60609
1658,9458221,HX111264,12/30/2013 02:00:00 PM,034XX W DOUGLAS BLVD,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,29,2013,02/10/2018 03:50:01 PM,41.862898145,-87.711275792,"(41.862898145, -87.711275792)",21569.0,60623
1659,9445015,HW589088,12/30/2013 02:00:00 PM,048XX W CONGRESS PKWY,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,25,2013,02/10/2018 03:50:01 PM,41.874064094,-87.745582842,"(41.874064094, -87.745582842)",22216.0,60644
1660,9444958,HW589068,12/30/2013 02:00:00 PM,025XX W BELDEN AVE,THEFT,$500 AND UNDER,STREET,False,False,22,2013,02/10/2018 03:50:01 PM,41.923270095,-87.690108463,"(41.923270095, -87.690108463)",22535.0,60647
1661,9455922,HX108341,12/30/2013 02:00:00 PM,047XX S LOOMIS BLVD,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,61,2013,02/10/2018 03:50:01 PM,41.807971156,-87.660089078,"(41.807971156, -87.660089078)",14924.0,60609
1662,9447299,HW589359,12/30/2013 02:00:00 PM,061XX S ALBANY AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,66,2013,02/10/2018 03:50:01 PM,41.782043922,-87.700787093,"(41.782043922, -87.700787093)",21867.0,60629
1663,9446168,HW589980,12/30/2013 02:00:00 PM,073XX S KENWOOD AVE,BURGLARY,UNLAWFUL ENTRY,OTHER,False,False,43,2013,02/10/2018 03:50:01 PM,41.761871202,-87.592102687,"(41.761871202, -87.592102687)",21546.0,60619
1664,9445016,HW589042,12/30/2013 02:00:00 PM,039XX W ROOSEVELT RD,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,True,False,29,2013,02/10/2018 03:50:01 PM,41.866197889,-87.723256295,"(41.866197889, -87.723256295)",21572.0,60624
1665,9445266,HW589284,12/30/2013 02:00:00 PM,081XX S PERRY AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,44,2013,02/10/2018 03:50:01 PM,41.74635741,-87.626910248,"(41.74635741, -87.626910248)",21554.0,60620
1666,9445013,HW589117,12/30/2013 02:00:00 PM,034XX W ADDISON ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,21,2013,02/10/2018 03:50:01 PM,41.946542649,-87.714356095,"(41.946542649, -87.714356095)",21538.0,60618
1667,9445139,HW589019,12/30/2013 01:50:00 PM,012XX W ROOSEVELT RD,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,28,2013,02/10/2018 03:50:01 PM,41.866988841,-87.657205006,"(41.866988841, -87.657205006)",14920.0,60608
1668,9445060,HW589151,12/30/2013 01:47:00 PM,023XX W 51ST ST,ASSAULT,SIMPLE,SIDEWALK,False,False,63,2013,02/10/2018 03:50:01 PM,41.801133957,-87.682257813,"(41.801133957, -87.682257813)",14924.0,60632
1669,9444996,HW589033,12/30/2013 01:45:00 PM,043XX S LAKE PARK AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,39,2013,02/10/2018 03:50:01 PM,41.816455303,-87.598557379,"(41.816455303, -87.598557379)",4301.0,60653
1670,9445017,HW589017,12/30/2013 01:44:00 PM,068XX S MORGAN ST,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,True,True,68,2013,02/10/2018 03:50:01 PM,41.770110897,-87.649392365,"(41.770110897, -87.649392365)",21559.0,60620
1671,9445170,HW589238,12/30/2013 01:40:00 PM,098XX S BELL AVE,ASSAULT,SIMPLE,RESIDENCE,False,True,72,2013,09/07/2021 03:41:02 PM,41.715077262,-87.678252033,"(41.715077262, -87.678252033)",22212.0,60643
1672,9447962,HW589032,12/30/2013 01:35:00 PM,005XX E 61ST ST,THEFT,OVER $500,SIDEWALK,False,False,42,2013,02/10/2018 03:50:01 PM,41.783933495,-87.612957199,"(41.783933495, -87.612957199)",22260.0,60637
