geography_type,year,geography,total,age_0-17,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80+,age_0-4,age_5-11,age_12-17,age_5+,age_18+,age_65+,female,male,latinx,asian_non-latinx,black_non-latinx,white_non-latinx,other_race_non-latinx
Zip Code,2019,60652,43447,11360,7017,5397,6166,6133,4153,2034,1187,2695,4731.0,3933.0,40752,32087,5061,23006,20441,18027,429.0,19747.0,4183,1061.0
Zip Code,2019,60653,33154,9162,5169,4760,4211,3680,3352,1842,978,2902,3319.0,2923.0,30252,23992,4239,18812,14342,913,418.0,29379.0,1624,820.0
Zip Code,2019,60654,20022,1463,5555,5971,2723,2090,1477,539,204,973,404.0,86.0,19049,18559,1330,9979,10043,1156,2851.0,1070.0,14365,580.0
Zip Code,2019,60655,28569,7025,4090,3459,3862,4305,3293,1583,952,1922,2689.0,2414.0,26647,21544,3648,14627,13942,2586,436.0,1836.0,23377,334.0
Zip Code,2019,60656,28218,5241,3628,5206,3587,3756,3230,2244,1326,1878,1902.0,1461.0,26340,22977,4968,13796,14422,3768,2372.0,327.0,21089,662.0
Zip Code,2019,60657,70958,8951,23709,17072,7136,5847,4529,2158,1556,3875,3048.0,2028.0,67083,62007,5702,35306,35652,5385,4887.0,2085.0,56603,1998.0
Zip Code,2019,60659,42735,11218,6875,6767,5499,5173,3984,2231,988,3272,4435.0,3503.0,39463,31517,5103,21244,21491,8873,11861.0,3453.0,16070,2478.0
Zip Code,2019,60660,44498,5361,10768,8716,5623,5616,4552,2422,1440,2009,2166.0,1138.0,42489,39137,5942,22027,22471,7614,6000.0,5937.0,23247,1700.0
Zip Code,2019,60661,10354,917,3386,3459,1430,658,409,58,37,492,292.0,133.0,9862,9437,332,5173,5181,641,2950.0,429.0,6027,307.0
ZIP Code,2019,60666,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0
Zip Code,2019,60707,43093,8982,6752,5495,6005,6181,5269,2826,1583,2331,3726.0,2925.0,40762,34111,6979,22556,20537,16862,1533.0,2981.0,20783,934.0
Zip Code,2019,60827,28483,8229,5017,3329,4095,3389,2758,1177,489,2578,3115.0,2530.0,25905,20254,2859,16017,12466,1486,39.0,25575.0,848,535.0
Citywide,2020,Chicago,2699347,552668,548747,463143,336591,313865,255435,145426,83472,165844,207791.0,177949.0,2533503,2146679,342174,1388469,1310878,772791,182251.0,776470.0,900055,67780.0
Zip Code,2020,60601,14513,825,4696,3048,1815,809,1974,1070,276,275,410.0,120.0,14238,13688,2605,7894,6619,1242,3528.0,679.0,8614,450.0
